URL,Number of outlinks
https://www.japscan.ws/manga/flower-war/,146
https://www.japscan.ws/lecture-en-ligne/flower-war/5/,11
https://www.japscan.ws/manga/aharen-san-wa-hakarenai/,158
https://www.japscan.ws/lecture-en-ligne/aharen-san-wa-hakarenai/10.5/,11
https://www.japscan.ws/manga/resurrection-of-the-catastrophic-hero/,171
https://www.japscan.ws/lecture-en-ligne/resurrection-of-the-catastrophic-hero/29/,11
https://www.japscan.ws/manga/the-hero-who-seeks-revenge-shall-exterminate-with-darkness/,206
https://www.japscan.ws/lecture-en-ligne/the-hero-who-seeks-revenge-shall-exterminate-with-darkness/49/,11
https://www.japscan.ws/manga/rasud/,157
https://www.japscan.ws/lecture-en-ligne/rasud/15/,11
https://www.japscan.ws/lecture-en-ligne/rasud/14/,12
https://www.japscan.ws/manga/my-chubby-princess/,258
https://www.japscan.ws/lecture-en-ligne/my-chubby-princess/118/,11
https://www.japscan.ws/manga/miss-miracle/,162
https://www.japscan.ws/lecture-en-ligne/miss-miracle/22/,11
https://www.japscan.ws/lecture-en-ligne/miss-miracle/21/,12
https://www.japscan.ws/manga/ace-of-diamond/,407
https://www.japscan.ws/lecture-en-ligne/ace-of-diamond/263/,11
https://www.japscan.ws/lecture-en-ligne/ace-of-diamond/262/,12
https://www.japscan.ws/lecture-en-ligne/ace-of-diamond/261/,12
https://www.japscan.ws/manga/this-time-i-ll-live-as-i-wish/,148
https://www.japscan.ws/lecture-en-ligne/this-time-i-ll-live-as-i-wish/4/,11
https://www.japscan.ws/manga/i-will-remove-them-from-my-life/,152
https://www.japscan.ws/lecture-en-ligne/i-will-remove-them-from-my-life/10/,11
https://www.japscan.ws/lecture-en-ligne/i-will-remove-them-from-my-life/9/,12
https://www.japscan.ws/lecture-en-ligne/i-will-remove-them-from-my-life/8/,12
https://www.japscan.ws/lecture-en-ligne/i-will-remove-them-from-my-life/7/,12
https://www.japscan.ws/manga/i-found-a-husband-when-i-picked-up-the-male-lead/,154
https://www.japscan.ws/lecture-en-ligne/i-found-a-husband-when-i-picked-up-the-male-lead/13/,11
https://www.japscan.ws/manga/yixia-fan-shang/,159
https://www.japscan.ws/lecture-en-ligne/yixia-fan-shang/17/,11
https://www.japscan.ws/manga/my-girlfriend-is-a-villain/,220
https://www.japscan.ws/lecture-en-ligne/my-girlfriend-is-a-villain/75/,11
https://www.japscan.ws/lecture-en-ligne/my-girlfriend-is-a-villain/74/,12
https://www.japscan.ws/manga/pungwoon-inn/,147
https://www.japscan.ws/lecture-en-ligne/pungwoon-inn/5/,11
https://www.japscan.ws/lecture-en-ligne/pungwoon-inn/4/,12
https://www.japscan.ws/lecture-en-ligne/pungwoon-inn/3/,12
https://www.japscan.ws/lecture-en-ligne/pungwoon-inn/2/,12
https://www.japscan.ws/lecture-en-ligne/pungwoon-inn/1/,11
https://www.japscan.ws/manga/i-became-a-doting-father/,154
https://www.japscan.ws/lecture-en-ligne/i-became-a-doting-father/14/,11
https://www.japscan.ws/lecture-en-ligne/i-became-a-doting-father/13/,12
https://www.japscan.ws/lecture-en-ligne/i-became-a-doting-father/12/,12
https://www.japscan.ws/lecture-en-ligne/i-became-a-doting-father/11/,12
https://www.japscan.ws/lecture-en-ligne/i-became-a-doting-father/10/,12
https://www.japscan.ws/lecture-en-ligne/i-became-a-doting-father/9/,12
https://www.japscan.ws/lecture-en-ligne/i-became-a-doting-father/8/,12
https://www.japscan.ws/lecture-en-ligne/i-became-a-doting-father/7/,12
https://www.japscan.ws/lecture-en-ligne/i-became-a-doting-father/6/,12
https://www.japscan.ws/lecture-en-ligne/i-became-a-doting-father/5/,12
https://www.japscan.ws/lecture-en-ligne/i-became-a-doting-father/4/,12
https://www.japscan.ws/lecture-en-ligne/i-became-a-doting-father/3/,12
https://www.japscan.ws/lecture-en-ligne/i-became-a-doting-father/2/,12
https://www.japscan.ws/lecture-en-ligne/i-became-a-doting-father/1/,11
https://www.japscan.ws/manga/dandadan/,187
https://www.japscan.ws/lecture-en-ligne/dandadan/45/,11
https://www.japscan.ws/manga/yomi-no-tsugai/,146
https://www.japscan.ws/manga/super-gene/,153
https://www.japscan.ws/lecture-en-ligne/super-gene/10/,11
https://www.japscan.ws/lecture-en-ligne/super-gene/9/,12
https://www.japscan.ws/lecture-en-ligne/super-gene/8/,12
https://www.japscan.ws/lecture-en-ligne/super-gene/7/,12
https://www.japscan.ws/lecture-en-ligne/super-gene/6/,12
https://www.japscan.ws/lecture-en-ligne/super-gene/5/,12
https://www.japscan.ws/lecture-en-ligne/super-gene/4/,12
https://www.japscan.ws/lecture-en-ligne/super-gene/3/,12
https://www.japscan.ws/lecture-en-ligne/super-gene/2/,12
https://www.japscan.ws/lecture-en-ligne/super-gene/1/,12
https://www.japscan.ws/lecture-en-ligne/super-gene/0/,11
https://www.japscan.ws/manga/the-book-of-lagier/,174
https://www.japscan.ws/lecture-en-ligne/the-book-of-lagier/34/,11
https://www.japscan.ws/manga/glass-wall/,162
https://www.japscan.ws/lecture-en-ligne/glass-wall/17/,11
https://www.japscan.ws/lecture-en-ligne/glass-wall/16/,12
https://www.japscan.ws/lecture-en-ligne/glass-wall/15/,12
https://www.japscan.ws/lecture-en-ligne/glass-wall/14/,12
https://www.japscan.ws/lecture-en-ligne/glass-wall/13/,12
https://www.japscan.ws/lecture-en-ligne/glass-wall/12/,12
https://www.japscan.ws/lecture-en-ligne/glass-wall/11/,12
https://www.japscan.ws/lecture-en-ligne/glass-wall/10/,12
https://www.japscan.ws/manga/i-became-the-hero-s-mom/,177
https://www.japscan.ws/lecture-en-ligne/i-became-the-hero-s-mom/33/,11
https://www.japscan.ws/manga/untouchable-lady/,159
https://www.japscan.ws/lecture-en-ligne/untouchable-lady/19/,11
https://www.japscan.ws/manga/double-click/,155
https://www.japscan.ws/lecture-en-ligne/double-click/15/,11
https://www.japscan.ws/manga/the-strongest-body-refiner-in-history/,176
https://www.japscan.ws/lecture-en-ligne/the-strongest-body-refiner-in-history/34/,11
https://www.japscan.ws/lecture-en-ligne/the-strongest-body-refiner-in-history/33/,12
https://www.japscan.ws/manga/death-is-the-only-ending-for-the-villainess/,188
https://www.japscan.ws/lecture-en-ligne/death-is-the-only-ending-for-the-villainess/45.2/,11
https://www.japscan.ws/lecture-en-ligne/death-is-the-only-ending-for-the-villainess/45.1/,12
https://www.japscan.ws/manga/sss-class-gacha-hunter/,151
https://www.japscan.ws/lecture-en-ligne/sss-class-gacha-hunter/9/,11
https://www.japscan.ws/lecture-en-ligne/sss-class-gacha-hunter/8/,12
https://www.japscan.ws/lecture-en-ligne/sss-class-gacha-hunter/7/,12
https://www.japscan.ws/lecture-en-ligne/sss-class-gacha-hunter/6/,12
https://www.japscan.ws/lecture-en-ligne/sss-class-gacha-hunter/5/,12
https://www.japscan.ws/lecture-en-ligne/sss-class-gacha-hunter/4/,12
https://www.japscan.ws/lecture-en-ligne/sss-class-gacha-hunter/3/,12
https://www.japscan.ws/lecture-en-ligne/sss-class-gacha-hunter/2/,12
https://www.japscan.ws/lecture-en-ligne/sss-class-gacha-hunter/1/,12
https://www.japscan.ws/lecture-en-ligne/sss-class-gacha-hunter/0/,11
https://www.japscan.ws/manga/alice-au-royaume-de-joker/,171
https://www.japscan.ws/lecture-en-ligne/alice-au-royaume-de-joker/27/,11
https://www.japscan.ws/manga/unbalance-x-unbalance/,180
https://www.japscan.ws/lecture-en-ligne/unbalance-x-unbalance/38/,11
https://www.japscan.ws/manga/spiral-les-liens-du-raisonnement/,183
https://www.japscan.ws/lecture-en-ligne/spiral-les-liens-du-raisonnement/39/,11
https://www.japscan.ws/manga/m-kang/,242
https://www.japscan.ws/lecture-en-ligne/m-kang/101/,11
https://www.japscan.ws/manga/the-world-after-the-fall/,153
https://www.japscan.ws/lecture-en-ligne/the-world-after-the-fall/8/,11
https://www.japscan.ws/lecture-en-ligne/the-world-after-the-fall/7/,12
https://www.japscan.ws/lecture-en-ligne/the-world-after-the-fall/6/,12
https://www.japscan.ws/lecture-en-ligne/the-world-after-the-fall/5/,12
https://www.japscan.ws/lecture-en-ligne/the-world-after-the-fall/4/,12
https://www.japscan.ws/lecture-en-ligne/the-world-after-the-fall/3/,12
https://www.japscan.ws/lecture-en-ligne/the-world-after-the-fall/2/,12
https://www.japscan.ws/lecture-en-ligne/the-world-after-the-fall/1/,12
https://www.japscan.ws/lecture-en-ligne/the-world-after-the-fall/0/,11
https://www.japscan.ws/manga/white-dragon-duke-pendragon/,151
https://www.japscan.ws/lecture-en-ligne/white-dragon-duke-pendragon/10/,11
https://www.japscan.ws/lecture-en-ligne/white-dragon-duke-pendragon/9/,12
https://www.japscan.ws/manga/i-killed-him/,165
https://www.japscan.ws/lecture-en-ligne/i-killed-him/25/,11
https://www.japscan.ws/lecture-en-ligne/i-killed-him/24/,12
https://www.japscan.ws/manga/so-they-prophesized-i-m-the-future-king/,148
https://www.japscan.ws/lecture-en-ligne/so-they-prophesized-i-m-the-future-king/6/,11
https://www.japscan.ws/lecture-en-ligne/so-they-prophesized-i-m-the-future-king/5/,12
https://www.japscan.ws/lecture-en-ligne/so-they-prophesized-i-m-the-future-king/4/,12
https://www.japscan.ws/lecture-en-ligne/so-they-prophesized-i-m-the-future-king/3/,12
https://www.japscan.ws/lecture-en-ligne/so-they-prophesized-i-m-the-future-king/2/,12
https://www.japscan.ws/lecture-en-ligne/so-they-prophesized-i-m-the-future-king/1/,12
https://www.japscan.ws/lecture-en-ligne/so-they-prophesized-i-m-the-future-king/0/,11
https://www.japscan.ws/manga/return-of-the-broken-constellation/,163
https://www.japscan.ws/lecture-en-ligne/return-of-the-broken-constellation/22/,11
https://www.japscan.ws/manga/return-of-the-8th-class-magician/,184
https://www.japscan.ws/lecture-en-ligne/return-of-the-8th-class-magician/44/,11
https://www.japscan.ws/manga/talent-swallowing-magician/,163
https://www.japscan.ws/lecture-en-ligne/talent-swallowing-magician/22/,11
https://www.japscan.ws/manga/solo-max-level-newbie/,177
https://www.japscan.ws/lecture-en-ligne/solo-max-level-newbie/35/,11
https://www.japscan.ws/manga/reincarnation-of-the-battle-god/,179
https://www.japscan.ws/lecture-en-ligne/reincarnation-of-the-battle-god/37/,11
https://www.japscan.ws/lecture-en-ligne/reincarnation-of-the-battle-god/36/,12
https://www.japscan.ws/lecture-en-ligne/reincarnation-of-the-battle-god/35/,12
https://www.japscan.ws/lecture-en-ligne/heartbroken-chocolatier/9/,12
https://www.japscan.ws/lecture-en-ligne/gals/8.5/,12
https://www.japscan.ws/lecture-en-ligne/i-m-the-only-wolf/12/,12
https://www.japscan.ws/lecture-en-ligne/a-fleur-de-peau/50/,12
https://www.japscan.ws/lecture-en-ligne/angel-sanctuary-deluxe/24/,12
https://www.japscan.ws/lecture-en-ligne/crown/14/,12
https://www.japscan.ws/lecture-en-ligne/contes-d-adolescence/20/,12
https://www.japscan.ws/lecture-en-ligne/tokyo-underground/32/,12
https://www.japscan.ws/lecture-en-ligne/venus-versus-virus/30/,12
https://www.japscan.ws/lecture-en-ligne/sekirei/48/,12
https://www.japscan.ws/lecture-en-ligne/usagi-yojimbo/31/,12
https://www.japscan.ws/lecture-en-ligne/shikabane-hime/44.5/,12
https://www.japscan.ws/lecture-en-ligne/open-sesame/51/,12
https://www.japscan.ws/manga/maxed-out-leveling/,172
https://www.japscan.ws/lecture-en-ligne/maxed-out-leveling/30/,11
https://www.japscan.ws/manga/is-this-hero-for-real/,148
https://www.japscan.ws/lecture-en-ligne/is-this-hero-for-real/8/,11
https://www.japscan.ws/lecture-en-ligne/is-this-hero-for-real/7/,12
https://www.japscan.ws/lecture-en-ligne/is-this-hero-for-real/6/,12
https://www.japscan.ws/lecture-en-ligne/is-this-hero-for-real/5/,12
https://www.japscan.ws/lecture-en-ligne/is-this-hero-for-real/4/,12
